ARTIFACT.CONSTRUCTION_Artifact,What is the artifact?
ARTIFACT.CONSTRUCTION_Instrument,What is the instrument?
ARTIFACT.CONSTRUCTION_Manufacturer,Who is the manufacturer?
ARTIFACT.CONSTRUCTION_Place,Where the event takes place?
ARTIFACT.DESTRUCTION_Agent,Who is the agent?
ARTIFACT.DESTRUCTION_Artifact,What is the artifact?
ARTIFACT.DESTRUCTION_Damager,Who damaged?
ARTIFACT.DESTRUCTION_Damagerdestroyer,Who damaged?
ARTIFACT.DESTRUCTION_Destroyer,Who damaged?
ARTIFACT.DESTRUCTION_Fireexplosionobject,Who is damaged?
ARTIFACT.DESTRUCTION_Instrument,What is the instrument?
ARTIFACT.DESTRUCTION_Money,What is the money?
ARTIFACT.DESTRUCTION_Numberofaffected,How many are affected?
ARTIFACT.DESTRUCTION_Place,Where the event takes place?
ARTIFACT.DESTRUCTION_Property,What is the property?
ARTIFACT.DESTRUCTION_Target,Who is the target?
ARTIFACT.DESTRUCTION_Time,What is the time?
CONFLICT_Place,Where the event takes place?
CONFLICT_Recipient,Who is the recipient?
CONFLICT_Yielder,Who is the yielder?
CONFLICT.ATTACK_Agent,Who is the agent?
CONFLICT.ATTACK_Arrested,who is arrested?
CONFLICT.ATTACK_Artifact,What is the artifact?
CONFLICT.ATTACK_Attacker,Who is the attacker?
CONFLICT.ATTACK_Dead,Who is dead?
CONFLICT.ATTACK_Displaced,Who is displaced?
CONFLICT.ATTACK_Injured,Who is injured?
CONFLICT.ATTACK_Instrument,What is the instrument?
CONFLICT.ATTACK_Money,What is the money?
CONFLICT.ATTACK_Numberofaffected,How many are affected?
CONFLICT.ATTACK_Participant,Who is the participant?
CONFLICT.ATTACK_Place,Where the event takes place?
CONFLICT.ATTACK_Target,Who is the target?
CONFLICT.ATTACK_Time,What is the time?
CONFLICT.ATTACK_Vehicle,What is the vehicle?
CONFLICT.DEMONSTRATE_Agent,Who is the agent?
CONFLICT.DEMONSTRATE_Aim,who is aimed?
CONFLICT.DEMONSTRATE_Arrested,who is arrested?
CONFLICT.DEMONSTRATE_Dead,Who is dead?
CONFLICT.DEMONSTRATE_Demonstrator,Who is the demonstrator?
CONFLICT.DEMONSTRATE_Injured,Who is injured?
CONFLICT.DEMONSTRATE_Instrument,What is the instrument?
CONFLICT.DEMONSTRATE_Numberofaffected,How many are affected?
CONFLICT.DEMONSTRATE_Observedentity,Who is entity?
CONFLICT.DEMONSTRATE_Participant,Who is the participant?
CONFLICT.DEMONSTRATE_Place,Where the event takes place?
CONFLICT.DEMONSTRATE_Police,Who is the police?
CONFLICT.DEMONSTRATE_Target,Who is the target?
CONFLICT.DEMONSTRATE_Time,What is the time?
CONFLICT.RETREAT_Destination,Who is the defendant?
CONFLICT.RETREAT_Origin,Where is the origin?
CONFLICT.RETREAT_Place,Where the event takes place?
CONFLICT.RETREAT_Recipient,Who is the recipient?
CONFLICT.RETREAT_Retreater,Who is the retreater?
CONFLICT.RETREAT_Surrenderer,Who is the surrenderer?
CONTACT_Communicator,Who is the communicator?
CONTACT_Deceased,Who is dead?
CONTACT_Participant,Who is the participant?
CONTACT_Place,Where the event takes place?
CONTACT_Recipient,Who is the recipient?
CONTACT.EXPRESS-INTENT_Communicator,Who is the communicator?
CONTACT.EXPRESS-INTENT_Place,Where the event takes place?
CONTACT.EXPRESS-INTENT_Recipient,Who is the recipient?
CONTACT.MEET_Communicator,Who is the communicator?
CONTACT.MEET_Observedentity,Who is entity?
CONTACT.MEET_Participant,Who is the participant?
CONTACT.MEET_Place,Where the event takes place?
CONTACT.MEET_Recipient,Who is the recipient?
CONTACT.PHONE-WRITE_Observedentity,Who is entity?
CONTACT.PHONE-WRITE_Place,Where the event takes place?
DISASTER_Crashobject,Who crashed?
DISASTER_Driverpassenger,Who crashed?
DISASTER_Place,Where the event takes place?
DISASTER_Vehicle,What is the vehicle?
GPE.AGREEMENT_Otherparticipant,Who is the other participant?
GPE.AGREEMENT_Participant,Who is the participant?
GPE.AGREEMENT_Place,Where the event takes place?
GPE.AGREEMENT_Rejecternullifier,Who is the rejecter?
GPE.AGREEMENT_Violator,Who is the violator?
GPE.GOVERNMENT-FORMATION_Founder,Who is the person?
GPE.GOVERNMENT-FORMATION_Gpe,What gpe?
GPE.GOVERNMENT-FORMATION_Participant,Who is the participant?
GPE.GOVERNMENT-FORMATION_Place,Where the event takes place?
